접수년도,접수월,접수요일,동물종류,총건수,입양건수,입양률
2020,10,Friday,고양이,462,167,36.15
2020,10,Friday,기타,28,10,35.71
2020,10,Friday,기타축종,14,11,78.57
2020,10,Monday,개,1519,478,31.47
2020,10,Monday,고양이,595,246,41.34
2020,10,Monday,기타,70,33,47.14
2020,10,Monday,기타축종,32,22,68.75
2020,10,Saturday,개,678,226,33.33
2020,10,Saturday,고양이,355,138,38.87
2020,10,Saturday,기타,24,11,45.83
2020,10,Saturday,기타축종,7,4,57.14
2020,10,Sunday,개,372,107,28.76
2020,10,Sunday,고양이,170,43,25.29
2020,10,Sunday,기타,20,7,35.0
2020,10,Sunday,기타축종,23,13,56.52
2020,10,Thursday,개,1160,361,31.12
2020,10,Thursday,고양이,522,189,36.21
2020,10,Thursday,기타,37,8,21.62
2020,10,Thursday,기타축종,9,7,77.78
2020,10,Tuesday,개,1290,415,32.17
2020,10,Tuesday,고양이,581,213,36.66
2020,10,Tuesday,기타,30,9,30.0
2020,10,Tuesday,기타축종,22,10,45.45
2020,10,Wednesday,개,1014,340,33.53
2020,10,Wednesday,고양이,504,187,37.1
2020,10,Wednesday,기타,32,13,40.62
2020,10,Wednesday,기타축종,15,10,66.67
2020,11,Friday,개,923,336,36.4
2020,11,Friday,고양이,256,98,38.28
2020,11,Friday,기타,34,5,14.71
2020,11,Friday,기타축종,19,15,78.95
2020,11,Monday,개,1690,553,32.72
2020,11,Monday,고양이,491,202,41.14
2020,11,Monday,기타,36,8,22.22
2020,11,Monday,기타축종,17,12,70.59
2020,11,Saturday,개,548,178,32.48
2020,11,Saturday,고양이,231,102,44.16
2020,11,Saturday,기타,21,9,42.86
2020,11,Saturday,기타축종,9,5,55.56
2020,11,Sunday,개,382,138,36.13
2020,11,Sunday,고양이,115,41,35.65
2020,11,Sunday,기타,14,10,71.43
2020,11,Sunday,기타축종,4,3,75.0
2020,11,Thursday,개,941,303,32.2
2020,11,Thursday,고양이,301,116,38.54
